Mon Nov 04 2019 01:00:00 GMT-0200 (GMT-02:00),Tue Nov 05 2019 00:59:59 GMT-0200 (GMT-02:00)
1572826758,IRRX,3782914127
1572826759,IRRX,3782914127
1572826760,IRRX,3782914127
1572826760,IRRX,3782914127
1572826761,IRRX,3782914127
1572827323,localPingErrCnt:,1
1572828186,IRRX,3782912087
1572828309,IRRX,3782891687
1572828314,IRRX,3782897807
1572828316,IRRX,3782897807
1572828316,IRRX,3782897807
1572828316,IRRX,3782897807
1572828407,IRRX,3772793023
1572828407,IRRX,3772793023
1572828610,RFRX,3708418
1572828610,RFRX,10976516
1572829449,RFRX,14145026
1572830161,RFRX,13481474
1572830161,RFRX,4224030
1572830161,RFRX,13481474
1572830174,RFRX,13481474
1572830174,RFRX,13481478
1572830175,RFRX,13481474
1572831609,RFRX,a40191
1572834959,RFRX,11912706
1572840039,localPingErrCnt:,1
1572858481,RFRX,9489818
1572859654,RFRX,8593050
1572862145,RFRX,9128194
1572865339,RFRX,11690674
1572865565,RFRX,12495514
1572867196,RFRX,14632450
1572869411,RFRX,10858702
1572869676,RFRX,14145026
1572869753,RFRX,12461417
1572870212,RFRX,9949645
1572870215,RFRX,9949645
1572870218,RFRX,9949645
1572871276,localPingErrCnt:,1
1572874125,RFRX,16459394
1572874234,localPingErrCnt:,1
1572874472,RFRX,14632450
1572874727,RFRX,12447514
1572877149,RFRX,12227818
1572877733,RFRX,11596698
1572879778,RFRX,11602201
1572880695,RFRX,11602202
1572880960,RFRX,9307434
1572880962,RFRX,9307433
1572880965,RFRX,1034754
1572881037,RFRX,12495514
1572882086,RFRX,11803034
1572883091,RFRX,8593050
1572884072,RFRX,12495514
1572885079,RFRX,13481474
1572885079,RFRX,11730538
1572885079,RFRX,13481474
1572885080,RFRX,11730538
1572885194,RFRX,10252826
1572886982,localPingErrCnt:,1
1572887810,RFRX,11185969
1572887837,localPingErrCnt:,1
1572888682,RFRX,12461417
1572890536,RFRX,9644106
1572890574,RFRX,9644106
1572891386,RFRX,10679833
1572891814,IRRX,3772793023
1572891814,IRRX,3772793023
1572891825,IRRX,3782914127
1572891827,IRRX,3782914127
1572891923,IRRX,3782891687
1572891925,IRRX,3782891687
1572891926,IRRX,3782871287
1572891927,IRRX,3782871287
1572891928,IRRX,3782871287
1572891930,IRRX,3782871287
1572891932,IRRX,3782871287
1572891933,IRRX,3782871287
1572891939,IRRX,3782891687
1572891940,IRRX,3782891687
1572891941,IRRX,3782891687
1572891942,IRRX,3782891687
1572891944,IRRX,3782891687
1572891945,IRRX,3782891687
1572891946,IRRX,3782891687
1572891952,IRRX,3782891687
1572891954,IRRX,3782891687
1572891961,IRRX,3782891687
1572891971,IRRX,3782891687
1572891973,IRRX,3782891687
1572891974,IRRX,3782891687
1572891992,IRRX,3782881487
1572891993,IRRX,3782881487
1572891996,IRRX,3782881487
1572891997,IRRX,3782881487
1572891998,IRRX,3782881487
1572891999,IRRX,3782881487
1572892000,IRRX,3782881487
1572892732,IRRX,3772793023
1572893299,RFRX,4731633
1572893301,RFRX,4731122
1572893303,RFRX,4731121
1572894764,RFRX,11912706
1572897061,RFRX,4731122
1572897624,RFRX,11912706
1572897625,RFRX,6511301
1572898254,RFRX,10142746
1572898260,RFRX,10858702
1572899728,RFRX,12461417
1572899731,RFRX,10364009
1572899933,RFRX,8548782
1572900506,RFRX,11030554
1572900665,RFRX,12495514
1572901245,RFRX,10142746
1572901348,RFRX,11690674
1572904008,RFRX,12242154
1572904236,RFRX,8593050
1572905554,RFRX,10252826
1572905694,RFRX,11261182
1572906584,RFRX,12495514
1572907167,RFRX,8593050
1572907219,RFRX,9791898
1572907313,RFRX,12447514
1572907569,RFRX,9562138
1572907938,RFRX,8645438
1572908197,RFRX,11690674
1572908228,RFRX,9949645
1572908232,RFRX,9949645
1572908310,RFRX,669937
1572908330,RFRX,669937
1572908784,RFRX,9128194
1572908784,RFRX,14584257
1572908816,RFRX,10042522
1572909204,RFRX,3473666
1572909391,RFRX,14691330
1572909391,RFRX,13737018
1572909391,RFRX,14691330
1572909392,RFRX,13737018
1572910454,RFRX,11863362
1572911597,RFRX,9004610
1572911852,RFRX,14145026
